"author","influenced"
"James Merrill","Constantine P. Cavafy|Elizabeth Bishop|Wallace Stevens|Henri Cole|Judith Moffett|Mona Van Duyn|Agha Shahid Ali|Mark Doty|Alfred Corn|J. D. McClatchy"
"O. Henry","Guy de Maupassant"
"Roger Caillois","Game theory"
"Al-Mutanabbi","Mohammed Ridha Al-Shabibi|Muhammad Mahdi al-Jawahiri|Abd al-Wahhab Al-Bayati"
"Margaret Wise Brown","Ursula Nordstrom"
"Karl Korsch","Douglas Kellner|New Left|Bertolt Brecht|Frankfurt School"
"Fernando Sabino","Paulo Mendes Campos"
"Max Müller","Franz Bopp|African Spir"
"William Brinkley","Steven Soderbergh"
"Maj Sjöwall","Stieg Larsson|Henning Mankell"
"Alexander Gottlieb Baumgarten","Immanuel Kant|Johann Georg Sulzer|Georg Friedrich Meier"
"Terry Brooks","Lloyd Alexander"
"Parmenides","Socrates|Aristotle|Baruch Spinoza|Friedrich Nietzsche|Plato|Zeno of Elea|Martin Heidegger|Melissus of Samos"
"Julia Gregson","Justin Bieber|Michael Jackson"
"Zhu Xi","Wang Yangming|Joseph Needham|Tu Weiming|Yi Hwang|Wang Fuzhi|Ch'ien Mu"
"Muhammad Younis Butt","Urdu poetry"
"Lewis Spence","Augustus Le Plongeon|Gerald Gardner (Wiccan)|James Churchward"
"James Thurber","Robert Benchley|John Updike|Kurt Vonnegut|Bob Newhart|Joseph Heller|Charles Bukowski|Fran Lebowitz|Larry Miller (comedian)"
"Nicholas Rescher","Ernest Sosa|Michele Marsonet|Alexander Pruss"
"Joseph Raz","Leslie Green (philosopher)|John Gardner (legal philosopher)"
"Elfriede Jelinek","Thomas Bernhard"
"Al-Sijzi","Al-Biruni"
"Raymond Williams","Edward Said|Terry Eagleton"
"José María Ramos Mejía","Luis Agote|José Ingenieros"
"William Petty","Adam Smith|Karl Marx|John Maynard Keynes|Bernard Mandeville"
"Mir Taqi Mir","Raza Naqvi Wahi|Urdu poetry|Ghalib"
"Heiner Müller","Thomas Brasch"
"Robinson Jeffers","Thomas Hardy|Gary Snyder|Charles Bukowski|Edward Abbey|Mark Jarman|William Everson"
"Niko Grafenauer","Veno Taufer|Tomaž Šalamun|Aleš Debeljak"
"Martins Pena","Artur Azevedo"
"Erin Mouré","Robin Blaser"
"Northrop Frye","B. W. Powe|Margaret Atwood|Harold Bloom"
"Larry Levis","Weldon Kees"
"T. S. Eliot","John Donne|Stéphane Mallarmé|Evelyn Underhill|Harold Joachim|John Davidson (poet)|Owen Barfield|F. H. Bradley|Matthew Arnold|Joel Chandler Harris|John Ruskin|Kyriakos Charalambides"
"Mary Wollstonecraft","Jean-Jacques Rousseau|Thomas Paine"
"Horia Gârbea","Ion Luca Caragiale|Mateiu Caragiale|Ion Creangă"
"Mary Gaitskill","Stacey Richter|Alicia Erian|Jacob M. Appel"
"Walter Kaufmann (philosopher)","Alexander Nehamas|Richard Schacht|Ivan Soll|Frithjof Bergmann"
"Tajuddin Muhammad Badruddin","Qalandar Baba Auliya"
"Ekow Duker","George Orwell|P. D. James|Chinua Achebe|Deon Meyer"
"Frank Lebby Stanton","Robert Burns|Joel Chandler Harris|James Whitcomb Riley|Ethelbert Nevin|Carrie Jacobs-Bond"
"Philipp Mainländer","Ulrich Horstmann"
"Matsuo Bashō","Saigyō|Steffen Basho-Junghans|Robbie Basho|Beat Generation|Imagism"
"William Hazlitt","Michel de Montaigne|John Keats|Stendhal"
"Kuno Fischer","John Pentland Mahaffy|Wilhelm Windelband|Gottlob Frege"
"Jonathan Coe","Henry Fielding|B. S. Johnson"
"William Keepers Maxwell, Jr.","John Updike|Shirley Hazzard|Maeve Brennan|Benjamin Cheever|Frank O'Connor|J. D. Salinger|John Cheever|Alec Wilkinson|Eudora Welty|John O'Hara|Mavis Gallant"
"George Călinescu","Urmuz|Nicolae Manolescu"
"Maurice Maeterlinck","Edwin Way Teale|Konstantin Stanislavsky"
"Giulio Angioni","Italo Calvino"
"Hans-Georg Gadamer","Jürgen Habermas|Hans Robert Jauss|Dieter Henrich|Reinhart Koselleck|Babette Babich"
"Julie Czerneda","C. J. Cherryh"
"Ramsey Campbell","Robert E. Howard|Robert Aickman|Kealan Patrick Burke|Mike Chinn|Poppy Z. Brite"
"Makhdoom Mohiuddin","Urdu poetry"
"Daniel Handler","Vladimir Nabokov|Edward Gorey"
"Peter Matthiessen","William Styron"
"George Herbert Mead","John Dewey|Jürgen Habermas|Herbert Blumer"
"France Bevk","Prežihov Voranc|Danilo Lokar|Anton Vodnik|Oton Župančič|Marjan Rožanc|Ciril Kosmač|Boris Pahor"
"Gerry Murphy (poet)","Patrick Galvin"
"Osvaldo Lira","Juan Vázquez de Mella"
"René Descartes","Baruch Spinoza|Edmund Husserl|Gottfried Wilhelm Leibniz|Immanuel Kant|Isaac Newton|Johann Gottlieb Fichte|John Locke|Noam Chomsky|Western philosophy|Nicolas Malebranche|Slavoj Žižek|David Chalmers|Jacques-Bénigne Bossuet"
"Alexander Lernet-Holenia","Stefan Zweig|Ödön von Horváth|Billy Wilder|Carl Zuckmayer"
"Michel Serres","Steven Connor|Pierre Lévy|Isabelle Stengers|Ilya Prigogine|Bruno Latour"
"Ludwig Börne","Karl Marx|Heinrich Heine"
"Theophil Spoerri","Max Frisch"
"Daniel Dennett","Richard Dawkins"
"Johann Gustav Droysen","Wilhelm Dilthey"
"Pedro Luís Pereira de Sousa","Castro Alves"
"Samuel Beckett","Arthur Schopenhauer|George Berkeley|Henry Fielding|Friedrich Hölderlin|Pedro Calderón de la Barca|Jean Racine|Giacomo Leopardi|Maurice Blanchot|Marquis de Sade|Jocelyn Herbert|Theodor W. Adorno"
"Ion Minulescu","Benjamin Fondane|Tristan Tzara|Al. Gherghel|Claudia Millian|Al. T. Stamatiad|Nicolae Davidescu|George Bacovia"
"Charles Stross","Bruce Sterling|Neal Stephenson|William Gibson"
"Alicia Erian","Mary Gaitskill"
"Janet Frame","William Styron"
"Neil Gaiman","Edward Plunkett, 18th Baron of Dunsany|Robert A. Heinlein|Gene Wolfe|Alan Moore|R. A. Lafferty|Jack Vance|Roger Zelazny|T. H. White|John M. Ford|John Crowley"
"Dumitru Țepeneag","Urmuz"
"Talbot Mundy","Fritz Leiber|Robert E. Howard|Robert A. Heinlein|E. Hoffmann Price|H. Warner Munn"
"Bertolt Brecht","Karl Korsch"
"Chris Bohjalian","Joyce Carol Oates"
"Jean Gebser","William Irwin Thompson|Georg Feuerstein|Rudolf Bahro|Daniel Pinchbeck|Ralph Abraham|Hugo Enomiya-Lassalle|Ken Wilber"
"John Dos Passos","Stendhal|Edmund Wilson"
"Gordon Clark","John Gerstner|Ronald H. Nash|Edward John Carnell|Carl F. H. Henry|Robert L. Reymond"
"James Planché","W. S. Gilbert"
"Zaal Samadashvili","Guram Dochanashvili"
"C. S. Lewis","Edward Plunkett, 18th Baron of Dunsany|George MacDonald|Evelyn Underhill|Owen Barfield|H. Rider Haggard"
"Yusuf ibn Abd al-Rahman al-Mizzi","Ibn Kathir"
"Giorgio Amendola","The Olive Tree (Italy)|Giorgio Napolitano"
"Abu Zayd al-Balkhi","Avicenna|Estakhri|Ibn Hawqal|Muhammad ibn Zakariya al-Razi|Joseph Wolpe|Al-Muqaddasi"
"Crispin Wright","Michael P. Lynch"
"Kenneth Patchen","Allen Ginsberg|Lawrence Ferlinghetti|Robert Duncan (poet)"
"Colin Wilson","Benjamin Walker (author)|William Seabrook|Abraham Maslow|Robert Anton Wilson|Gary Lachman"
"Aprilynne Pike","E. B. White|Christopher Pike (author)|Laura Ingalls Wilder|Lois Lowry"
"William March","Erich Maria Remarque|Kurt Vonnegut|Joseph Heller|Wallace Terry|Thomas Pynchon|Mark Baker|Gustav Hasford|Larry Heinemann|Albert Santoli"
"Nick Perumov","Vera Kamsha"
"Erskine Caldwell","Sherwood Anderson"
"Sima Milutinović Sarajlija","Jovan Rajić|Petar II Petrović-Njegoš"
"Anne-Marie Albiach","Stéphane Mallarmé"
"John Argyropoulos","Gemistus Pletho|Leonardo da Vinci|Marsilio Ficino|Jacques Lefèvre d'Étaples|Johann Reuchlin"
"John Donne","John Pory|Dylan Thomas|Ernest Hemingway|T. S. Eliot|W. B. Yeats|W. H. Auden|Seán Ó Ríordáin"
"Kyoshi Takahama","Tatsuko Hoshino"
"Patrick Kennedy (folklorist)","W. B. Yeats|Celtic Revival"
"Karl Stern","Henri Nouwen|Jean Vanier|Graham Greene"
"Irène Némirovsky","Ivan Turgenev"
"Margaret Atwood","George Eliot|Margaret Laurence|Virginia Woolf|Northrop Frye|James Reaney"
"Abdulla Qahhor","Erkin Vohidov"
"Asghar Ali Engineer","Tan Malaka"
"Castro Alves","Pedro Luís Pereira de Sousa"
"Sheridan Le Fanu","Walter Scott|Bram Stoker|Charles Dickens|Charlotte Brontë|James Joyce|Henry James"
"Majaz","Urdu poetry"
"Gustavo Adolfo Bécquer","Antonio Machado|Octavio Paz|Giannina Braschi|Juan Ramón Jiménez|Luis Cernuda"
"Georges Canguilhem","Gilles Deleuze|Jacques-Alain Miller|Michel Foucault|Louis Althusser|Dominique Lecourt|Pierre Bourdieu|François Dagognet|Arnold Davidson"
"Robert Faesi","Max Frisch"
"Paul Auster","Herman Melville|Knut Hamsun|Raymond Chandler|Stéphane Mallarmé|Louis-Ferdinand Céline"
"Bernard Mandeville","Adam Smith|Friedrich Hayek"
"Alexandru Toma","Panait Cerna"
"Jean Bodin","Montesquieu|Giovanni Botero|Eric Voegelin"
