"author","influenced"
"Anthony Buckeridge","George Mills (writer)"
"W. G. Sebald","Italo Calvino|Thomas Bernhard|Thomas Browne|Adalbert Stifter"
"Robert Nozick","Roderick T. Long"
"Quentin Meillassoux","Ray Brassier|Tristan Garcia"
"Lewis Grassic Gibbon","George Douglas Brown"
"Mikheil Javakhishvili","Donald Rayfield|Grigol Robakidze"
"Stuart Neville","Adrian McKinty"
"Harlan Ellison","Roger Zelazny|Theodore Sturgeon"
"György Lukács","Guy Debord|Richard D. Wolff|Karl Polanyi|Budapest School (Lukács)|Costanzo Preve|Walter Benjamin|Tom Rockmore|Lucien Goldmann|Moishe Postone|Karel Kosík|Frankfurt School|Praxis School"
"Jane C. Loudon","William Bayle Bernard|Anne Rice"
"Bolívar Echeverría","Stefan Gandler"
"Mikhail Bulgakov","Alexander Pushkin"
"Srečko Kosovel","Josip Murn|Dragotin Kette|Edvard Kocbek|Taras Kermauner|Susanna Tamaro|Matej Bor|Dane Zajc|Miran Jarc|Boris Pahor|Alojz Rebula|France Balantič|Karel Destovnik|Tomaž Šalamun|Ciril Zlobec|Aleš Debeljak|Iztok Osojnik"
"Luís de Camões","Ludovico Ariosto|Fernão Lopes de Castanheda|Fernando Pessoa|Herman Melville|Jorge Luis Borges|Almeida Garrett|Santa Rita Durão|Ezra Pound|J. Slauerhoff|Bento Teixeira|Manuel Maria Barbosa du Bocage"
"China Miéville","J. G. Ballard|Gene Wolfe|Bruno Schulz|M. John Harrison|Michael de Larrabeiti"
"Stanisław Lem","Bruno Schulz|Olaf Stapledon|Karlheinz Steinmüller"
"Abdulhakim Arvasi","Necip Fazıl Kısakürek|Hüseyin Hilmi Işık"
"Adam Smith","Frédéric Bastiat"
"Grigol Robakidze","Gustave Flaubert|Stendhal|Mikheil Javakhishvili|Johann Wolfgang von Goethe|Stefan Zweig|Konstantine Gamsakhurdia|Nikos Kazantzakis|Guram Dochanashvili|Romain Rolland|Blue Horns"
"Antonio Negri","Michael Hardt"
"Cornelius Castoriadis","Guy Debord|Anthony Giddens|Daniel Cohn-Bendit|Claude Lefort|Robin Hahnel|Marcel Gauchet|Pierre Vidal-Naquet|Vincent Descombes|Richard Rorty|Graham Ward (theologian)|Sudipta Kaviraj|E. P. Thompson|Jean Baudrillard|Nikolas Kompridis|Hans G. Furth|Jonathan Nitzan|Elias Petropoulos|John Thompson (sociologist)|Georges Duby|Chris Pallis|Jacques Le Goff|Hans Joas|Francisco Varela|Shimshon Bichler|René Lourau|Zygmunt Bauman|Takis Fotopoulos|Edgar Morin|Nicole Loraux|Lorraine Code|Andrew Arato|Harald Wolf"
"Charlotte Brontë","Sheridan Le Fanu|William Makepeace Thackeray|Samuel Richardson"
"Gabriel Scott","Knut Hamsun"
"Akira Yoshimura","Motojirō Kajii"
"John D. MacDonald","Dean Koontz|Stephen King|Lee Child|Spider Robinson|Diana Gabaldon|Carl Hiaasen|Warren Zevon"
"Vinayaka Krishna Gokak","S. R. Ekkundi|Gangadhar V. Chittal|Mangesh V. Nadkarni"
"John D'Agata","Deborah Tall"
"Muhammad Asad","Murad Wilfried Hofmann|Maryam Jameelah|Imran Khan|Constitution of Pakistan|Tariq Ramadan"
"W. N. Herbert","Edwin Morgan (poet)"
"Hasan Ali Toptaş","Oğuz Atay"
"J. L. Mackie","Richard Joyce (philosopher)|Michael Martin (philosopher)"
"Søren Kierkegaard","Albert Camus|Henrik Ibsen|Ingmar Bergman|Jean-Paul Sartre|Ludwig Wittgenstein|Jean Wahl|Emmanuel Levinas|Jacques Derrida|Martin Heidegger|Theodor W. Adorno|Carl Schmitt|Gabriel Marcel|Karl Barth|Karl Jaspers|Lev Shestov|Martin Buber|Paul Tillich|Simone de Beauvoir"
"Gilbert Ryle","A. J. Ayer|Daniel Dennett|John Searle|Wilfrid Sellars|R. M. Hare|Gerald Cohen|J. L. Austin|Richard Webster (British author)|Clifford Geertz|Ullin Place"
"Sesto Pals","Urmuz"
"Cyril Wong","Arthur Yap"
"Andrew J. Offutt","Robert E. Howard"
"Norman Malcolm","Oets Kolk Bouwsma"
"Camilo Pessanha","Fernando Pessoa|Mário de Sá-Carneiro|Wenceslau de Moraes"
"Stuart Dybek","Dan Chaon|Jacob M. Appel"
"Habib Jalib","Urdu poetry"
"Daniel Pinchbeck","Julius Evola|Terence McKenna|Jean Gebser"
"William S. Burroughs","Arthur Rimbaud|Richard Evans Schultes|Louis-Ferdinand Céline|Allen Ginsberg|David Bowie|David Cronenberg|Clive Barker|Jack Kerouac|Hunter S. Thompson|J. G. Ballard|Ken Kesey|Kurt Cobain|Kathy Acker|Patti Smith|Alan Moore|John Zorn|Genesis P-Orridge|Lydia Lunch|Irvine Welsh|Ian Curtis|Lou Reed|Thomas Pynchon|Tom Waits|William Gibson|Gus Van Sant|Keith Haring|Grant Morrison|Mark Leyner|Paul Di Filippo|Robert Wyatt|Dennis Cooper|Brian Eno|Norman Mailer|Poppy Z. Brite|Will Self"
"Thomas Hobbes","Political philosophy|Sociology"
"Anna Akhmatova","Yevgeny Baratynsky|Alexander Pushkin|Mikhail Lermontov"
"Natsume Sōseki","Kojin Karatani"
"Nihal Atsız","Ziya Gökalp"
"Stephen Greenblatt","Lucretius|Clifford Geertz"
"Adrienne Rich","Sylvia Plath|Simone de Beauvoir"
"Voltaire","John Locke|Miguel de Cervantes|Writings of Cicero|Pierre Bayle|Lucian"
"Erich Auerbach","Giambattista Vico"
"Edna O'Brien","Seamus Heaney"
"Edward Dwelly","Scottish Gaelic Renaissance"
"Paul Feyerabend","Imre Lakatos"
"Nitsana Darshan-Leitner","Southern Poverty Law Center"
"Upasni Maharaj","Meher Baba"
"Peter Singer","Peter Unger"
"Jacques Sternberg","Jaime Montestrela"
"Holly Black","Lloyd Alexander|Cassandra Clare"
"Arun Budhathoki","Sylvia Plath"
"Yin Haiguang","Jin Yuelin"
"Bruce Chatwin","Robert Byron"
"Walker Percy","Ferdinand de Saussure"
"François Coppée","Leconte de Lisle"
"Gemistus Pletho","Marsilio Ficino|Basilios Bessarion|Cosimo de' Medici|Italian Renaissance|John Argyropoulos"
"Augustyn Wróblewski","Edward Abramowski"
"Jane Lindskold","Roger Zelazny"
"François-René de Chateaubriand","Giambattista Vico|Louis Gabriel Ambroise de Bonald"
"T. H. White","J. K. Rowling|Michael Moorcock|Neil Gaiman|Ed McBain|Lloyd Alexander|Gregory Maguire"
"Karl Kautsky","Joseph Stalin|Konrad Lorenz|Leon Trotsky|Willy Brandt|Max Adler (Marxist)|Bruno Kreisky|Otto Bauer|Karl Renner|Vladimir Lenin|Rudolf Hilferding"
"Ahamed Mohiyudheen Noorishah Jeelani","Sufism|Islamic philosophy"
"György Márkus","Ágnes Heller"
"Caryl Churchill","Harold Pinter"
"Lucy Maud Montgomery","Kyoko Mizuki"
"Tetsuro Watsuji","Yasuo Yuasa"
"Maurice Barrès","Henri Massis|Jacques Maritain|André Malraux|Jacques Bainville|Georges Bernanos|Léon Daudet|Montherlant|François Mauriac|Thierry Maulnier|Louis Aragon|Henri Vaugeois"
"Rigas Feraios","Greek War of Independence"
"Kōbō Abe","Jun Ishikawa"
"Abdullah Goran","Riza Talabani|Nalî"
"Pherecydes of Syros","Pythagoras"
"Eric Carle","Michael Buckley (author)"
"Richard Reeves (British author)","Nick Clegg|Vince Cable|Kitty Ussher"
"J. K. Rowling","George Eliot|Lloyd Alexander|T. H. White"
"Thomas Carlyle","Johann Wolfgang von Goethe|Arthur Hugh Clough|Friedrich de la Motte Fouqué"
"Washington Irving","Alexander von Humboldt"
"Felix Cheong","Edwin Thumboo"
"Tristan Tzara","Comte de Lautréamont|Ion Minulescu"
"Kurt Koffka","Maurice Merleau-Ponty|Kurt Lewin|Lev Vygotsky"
"Jens Peter Jacobsen","Henrik Ibsen|Hermann Hesse|James Joyce|Rainer Maria Rilke|Sigmund Freud|Stefan Zweig|D. H. Lawrence|Thomas Mann"
"Anaximander","Anaximenes of Miletus|Democritus|Pythagoras|Ancient Greek astronomy"
"Adam Asnyk","Leconte de Lisle|Antoni Malczewski"
"Hunter S. Thompson","Jack Kerouac|Ken Kesey|William S. Burroughs"
"Virginia Woolf","Daniel Defoe|George Eliot|Laurence Sterne|Toni Morrison|Michael Cunningham|Gabriel García Márquez|Margaret Atwood"
"Felix Aderca","Urmuz"
"Robert Weinberg (author)","Robert E. Howard"
"Edgar Lustgarten","Truman Capote"
"Evelyn Underhill","Rudolf Christoph Eucken|C. S. Lewis|Charles Williams (British writer)|T. S. Eliot"
"Sender Garlin","Whittaker Chambers|Howard Zinn"
"T. R. Subba Rao","A. N. Krishna Rao"
"Lois Lowry","Aprilynne Pike"
"Fredric Jameson","Slavoj Žižek"
"Benjamin Barber","Howard Dean"
"Lon L. Fuller","Ian Roderick Macneil|Ronald Dworkin"
"Sidney Hook","Barbara Branden|Paul Kurtz|Morris Janowitz|Lionel Trilling"
"Richard Hakluyt","John Pory"
"James Dickey","Theodore Roethke"
"Alvin Pang","Edwin Thumboo"
"Strato of Lampsacus","Pierre Bayle"
"Allen Tate","Geoffrey Hill|Robert Lowell|Cleanth Brooks"
"Georg Henrik von Wright","Peter Hacker|Karl-Otto Apel|Jaakko Hintikka"
"Victor Hugo","Walter Scott|Giada Trebeschi"
"Robert G. Ingersoll","Thomas Paine|Margaret Sanger|Clarence Darrow|Susan Jacoby|Sinclair Lewis|H. L. Mencken|Lew Wallace|Hamlin Garland|Henry Ward Beecher|Mark Twain|Joseph L. Lewis"
"Chinua Achebe","Ekow Duker"
"Francis Hutcheson (philosopher)","Adam Smith|David Hume|Jeremy Bentham|Joseph Butler"
"Étienne Gilson","Second Vatican Council|Richard McKeon|Paul Weiss (philosopher)|Jacques Maritain|Norman Geisler|John F. X. Knasas|Henry Corbin"
"Edmund Wilson","Sinclair Lewis|Theodore Dreiser|John Dos Passos|Floyd Dell|Upton Sinclair"
"Pablo Neruda","Alexander Pushkin"
"Alvin Plantinga","Peter van Inwagen|Michael C. Rea|Robert Koons|Robin Collins|Keith DeRose|William Lane Craig|Trenton Merricks|Nicholas Wolterstorff|Michael Bergmann (philosopher)"
"Siddiqa Begum","Urdu poetry"
"John Milton","John Pory|Ovid|Virgil|Hugo Grotius"
"Charles Perrault","Count Franz Pocci"
"Herbert Marcuse","Jürgen Habermas|Douglas Kellner|Abbie Hoffman|Angela Davis|Bob Black|Norman O. Brown|Peter Lamborn Wilson"
"Ogiwara Seisensui","Ozaki Hōsai"
"Georges Simenon","Binet-Valmer|Edmond Locard"
"Rick Moody","Robert Coover|John Cheever|Amy Hempel"
"Stanley Elkin","William Gaddis"
"Walter Lippmann","Ann Nocenti"
"Will Self","J. G. Ballard|William S. Burroughs|Alasdair Gray|Louis-Ferdinand Céline"
"Kyōka Izumi","Ton Satomi|Yasunari Kawabata|Jun'ichirō Tanizaki|Yukio Mishima|Ryūnosuke Akutagawa"
"Laurell K. Hamilton","Robert E. Howard|Jeaniene Frost"
"Roberto Saviano","Julius Evola"
"Salvatore Quasimodo","Giuseppe Ungaretti"
"Karl Leonhard Reinhold","Johann Gottlieb Fichte|Salomon Maimon|Friedrich Adolf Trendelenburg|Friedrich Schiller"
"Howard Waldrop","Chad Oliver"
"Richard Tarnas","Jorge Ferrer|Ken Wilber"
"Naomi Wolf","Abbie Hoffman"
"Friedrich Engels","List of Marxists"
"Wallace Stevens","George Santayana|James Merrill|John Ashbery|Donald Justice|Harold Bloom"
"Yevgeny Zamyatin","Nikolai Leskov|Aldous Huxley|George Orwell|Ray Bradbury"
"Lawrence Ferlinghetti","Kenneth Patchen"
"Juan del Encina","Gil Vicente"
"Alastair Reynolds","Bruce Sterling|Joan D. Vinge"
"Cora Diamond","James F. Conant"
"Salvador Espriu","Raimon"
"Gregory Benford","Poul Anderson"
"Henri Lefebvre","Guy Debord"
"Katherine Mansfield","George Gurdjieff|Beatrice Hastings"
"John Stuart Mill","Bertrand Russell|Karl Popper|Milton Friedman|Peter Singer|Robert Nozick|Norman Finkelstein|Ayaan Hirsi Ali|Will Kymlicka|A. C. Grayling|Christopher Hitchens|John Maynard Keynes|Paul Feyerabend|Zechariah Chafee|John Gray (philosopher)|Wilhelm Dilthey|H. L. A. Hart|Sam Harris|Carlos Vaz Ferreira|John Rawls|Paul Krugman|Ronald Dworkin|William James|Isaiah Berlin"
"Michel Bréal","Antoine Meillet|Georges Dumézil"
"Paul Celan","Friedrich Hölderlin|Yvan Goll"
"David Drake","Robert E. Howard|L. Sprague de Camp|Joel Rosenberg (science fiction author)"
"Leah Blatt Glasser","Suzan-Lori Parks"
"Hans Lipps","Knud Ejler Løgstrup"
"Poul Martin Møller","Søren Kierkegaard"
"Abdur Razzaq (professor)","Ahmed Sofa|Sardar Fazlul Karim|Salimullah Khan|Ahmed Sharif|Kamal Hossain"
"Raymond Queneau","Alexandre Kojève"
"Noam Chomsky","Daniel Dennett|Donald Knuth|Stephen Jay Gould|John Searle|Norman Finkelstein|Niels Kaj Jerne|Aaron Swartz|George Lakoff|Hugo Chávez|Robert Fisk|Steven Pinker|Norbert Hornstein|Edward Said|Crispin Wright|Michael Albert|Morris Halle|Amy Goodman|Colin McGinn|Daniel Everett|Ann Nocenti|John Backus"
"Jacques Derrida","Gayatri Chakravorty Spivak"
"Einar Niemi","Ingrid Semmingsen"
"William of Ockham","History of science|John Wycliffe|Willard Van Orman Quine"
"Octave Mirbeau","Albert Camus|Franz Kafka|Léon Werth|Eugène Ionesco"
"Amina Wadud","Michael Muhammad Knight|Asra Nomani"
"Michael Oakeshott","Margaret Thatcher|Hayden White|Richard E. Flathman|John Gray (philosopher)|Maurice Cowling|Andrew Sullivan|J. G. A. Pocock"
"Pseudo-Dionysius the Areopagite","Maximus the Confessor|John Scotus Eriugena|Meister Eckhart|Christian mysticism|Scholasticism|Nicholas of Cusa|Thomas Aquinas|Apophatic theology"
"Dan Goldstick","Miguel Figueroa"
"Ghalib","Mir Taqi Mir|Baksh Nasikh|Faiz Ahmad Faiz|Urdu poetry|Bahadur Shah II|Altaf Hussain Hali"
"Jean-François Lyotard","Richard Rorty"
"Robin Hobb","Jack Vance"
"John O'Hara","William Keepers Maxwell, Jr."
"W. H. Pugmire","H. Warner Munn"
"Edmund Blunden","Siegfried Sassoon"
"Michael de Larrabeiti","Robert Louis Stevenson|Hal Duncan|New Weird|China Miéville"
"Erkin Vohidov","Abdulla Qahhor"
"Tadeusz Różewicz","Leopold Staff"
"Ignatiy Vishnevetsky","Jonathan Rosenbaum"
"John W. Campbell","Isaac Asimov"
"Mike Chinn","Ramsey Campbell"
"Kyoko Mizuki","Lucy Maud Montgomery"
"Louis-Ferdinand Céline","Gustave Flaubert|Guy de Maupassant|Arthur Rimbaud|Jack Kerouac|Jean-Paul Sartre|Kurt Vonnegut|Paul Auster|Jim Morrison|Joseph Heller|William T. Vollmann|Charles Bukowski|Philip Roth|Irvine Welsh|William S. Burroughs|Patrick Modiano|António Lobo Antunes|Michel Houellebecq|Billy Childish|Henry Miller|Will Self|Anthony Swofford"
"Thomas M. Disch","J. G. Ballard"
"Pierre Boutang","Charles Maurras|Gabriel Marcel"
"Jim Thompson (writer)","Stephen King"
"Félix Guattari","Gilles Deleuze|Bryan Reynolds|Antonio Negri|Brian Massumi"
"Carlo Emilio Gadda","Carlo Dossi"
"Cornelius Van Til","Rousas Rushdoony|Greg Bahnsen|John Frame (theologian)|Francis Schaeffer|Richard L. Pratt, Jr."
"Alice Munro","Stendhal|Margaret Laurence"
"Paracelsus","Franciscus Sylvius|Adam Haslmayr|Thomas Browne|Thomas Muffet"
"Bret Easton Ellis","William Faulkner|Don DeLillo|Tao Lin|Alberto Fuguet|The Delivery Man (novel)|Christian Kracht|Michel Houellebecq|Chuck Palahniuk"
"Muhammad Husayn Tabataba'i","Dariush Shayegan|Abdollah Javadi-Amoli|Mohammad Beheshti|Musa al-Sadr|Ebrahim Amini|Morteza Motahhari|Naser Makarem Shirazi|Muhammad al-Tijani|Henry Corbin|Hossein Nasr"
"Emmanuel Hocquard","Michael Palmer (poet)"
"Leo Tolstoy","George Eliot|Jean-Jacques Rousseau|Laurence Sterne|Stendhal|Henry George|Nikolai Gogol|Alexander Pushkin|Peter Kropotkin|Henry David Thoreau|Petr Chelčický|Mitrofan Lodyzhensky|African Spir"
"J. L. Austin","John Searle|Judith Butler|Stanley Cavell"
"James Rollins","Jeremy Robinson"
"Fateh Muhammad Malik","Muhammad Iqbal"
"Evald Ilyenkov","Vasily Davydov"
"Louis Blanc","Pierre-Joseph Proudhon|Mikhail Bakunin|Peter Kropotkin|Joseph Déjacque"
"Josipina Turnograjska","France Prešeren|Davorin Trstenjak|Pavlina Pajk"
"Kevin Young (poet)","John Berryman"
"Simon Scarrow","Bernard Cornwell"
"Nicholas Moore","Meary James Thurairajah Tambimuttu"
"Julio Cortázar","Lawrence Durrell|David Foster Wallace|Georges Perec|Thomas Pynchon|Giannina Braschi"
"Drago Jančar","Boris Pahor|Rudi Šeligo|Veno Taufer|Dominik Smole|Dušan Šarotar|Feri Lainšček|Aleš Debeljak"
"William Carlos Williams","Allen Ginsberg|Theodore Roethke|Rae Armantrout|H. H. Lewis|Denise Levertov|Charles Olson|Robert Creeley|Robert Lowell"
"Thomas Wolfe","Sherwood Anderson"
"Umberto Saba","Giacomo Leopardi|Scipio Slataper"
"François Mauriac","Maurice Barrès|Elie Wiesel|Gabriel Marcel"
"Tacitus","Personal life of Cicero|Writings of Cicero|Political career of Cicero"
"Edward Everett Dale","Angie Debo"
"Gianni Vattimo","Stefan Lorenz Sorgner|Richard Rorty|Mario Kopić|Lorenzo Ferrero"
"Othmar Spann","Friedrich Hayek|Oskar Morgenstern|Eric Voegelin|Herman Dooyeweerd"
"Wang Li (linguist)","Michael Halliday"
"Petr Chelčický","Baptist Union in the Czech Republic|Unity of the Brethren|Moravian Church|Leo Tolstoy"
"Robert Frost","Thomas Hardy|Edward Thomas (poet)|Seamus Heaney|James Wright (poet)|Richard Wilbur"
"Giovanni Boccaccio","Ovid"
"Rudolf von Jhering","Karl Llewellyn"
"Eric Hobsbawm","Antonio Gramsci|Nikolai Kondratiev|Ernesto Laclau|Francis Mulhern|Benedict Anderson|Terence Ranger"
"Philip Pettit","José Luis Rodríguez Zapatero"
"Hiroshi Shima","Leprosy stigma"
"Ciril Zlobec","Srečko Kosovel|Dragotin Kette"
"Mozi","Philosophy|School of Names"
"Leopold Staff","Leconte de Lisle|Antoni Lange|Antoni Malczewski|Czesław Miłosz|Tadeusz Różewicz|Jarosław Iwaszkiewicz|Jan Lechoń|Kazimierz Wierzyński|Julian Tuwim"
"Yamazaki Ansai","Hoshina Masayuki"
"Writings of Cicero","Montesquieu|Voltaire|Augustine of Hippo|David Hume|John Locke|Quintilian|Pierre-Joseph Proudhon|Tacitus|Founding Fathers of the United States|Pliny the Younger|Leo Strauss|John Adams"
"H. Bonciu","Urmuz|Mircea Cărtărescu"
"Lars Norén","August Strindberg"
"Tao Lin","Lydia Davis|Ann Beattie|Joy Williams (American writer)|Richard Yates (novelist)|Bret Easton Ellis|Don DeLillo|Mira Gonzalez|Zachary German"
"Shakeel Badayuni","Urdu poetry"
"Spider Robinson","Robert A. Heinlein|John D. MacDonald"
"Ion Luca Caragiale","Ion Heliade Rădulescu|Horia Gârbea|George Mihail Zamfirescu|Dimitrie D. Pătrășcanu|Dumitru Radu Popa|I. Peltz|Ioan Alexandru Brătescu-Voinești|Mihail Sorbul|Paul Zarifopol|Ioan A. Bassarabescu|Gheorghe Brăescu|Mihail Sebastian|Eugène Ionesco|Victor Ion Popa"
"Pete Hamill","Normand Poirier"
"Reşat Ekrem Koçu","Orhan Pamuk"
"J. G. Ballard","William S. Burroughs|Bruce Sterling|David Cronenberg|Ken MacLeod|Michael Moorcock|Warren Ellis|Jonathan Lethem|Jean Baudrillard|Thomas M. Disch|China Miéville|Christopher Priest (novelist)|Don DeLillo|Will Self|Alex Garland"
"Eric Newby","William Dalrymple (historian)"
"F. Van Wyck Mason","Ian Fleming"
"Juan Carlos Portantiero","Raúl Alfonsín"
"Zamir Jafri","Urdu poetry"
"Jože Snoj","France Balantič|Josip Murn|Gregor Strniša"
"Li Shangyin","Wang Anshi"
"George Crabbe","Jane Austen|Walter Scott|Lord Byron|Alfred, Lord Tennyson"
"Muhammad Mahdi al-Jawahiri","Antarah ibn Shaddad|Al-Mutanabbi"
"Jacob Taubes","Giorgio Agamben|Peter Sloterdijk|Norbert Bolz"
"Italo Calvino","Laurence Sterne|Giada Trebeschi|Salman Rushdie|Amanda Filipacchi|Umberto Eco|Giulio Angioni|Ismail Kadare|Gore Vidal|W. G. Sebald|Aimee Bender|Orhan Pamuk"
"John Drummond, 15th Baron Strange","Cherry Drummond, 16th Baroness Strange|Rosamunde Pilcher"
"André Breton","Comte de Lautréamont|Alexandre Kojève|Charles Fourier|Guy Debord|Luis Buñuel|Fernando Arrabal|Wolfi Landstreicher"
"Harvey Manning","Issaquah Alps Trails Club"
"Catulle Mendès","Leconte de Lisle"
"Fyodor Dostoyevsky","Miguel de Cervantes|Adam Mickiewicz|Nikolai Gogol|Vissarion Belinsky|Alexander Pushkin|Vladimir Solovyov (philosopher)|Mikhail Lermontov"
"Camilo José Cela","José Riço Direitinho"
"Oğuz Atay","Vladimir Nabokov|Ahmet Hamdi Tanpınar|Turkish literature|Orhan Pamuk|Hasan Ali Toptaş"
"Peter Abelard","John of Salisbury|William of Ockham"
"Tom Hodgkinson","Robert Wringham"
"William T. Vollmann","Comte de Lautréamont|Yasunari Kawabata|Louis-Ferdinand Céline"
"Lee Child","John D. MacDonald"
"Claude Adrien Helvétius","Cesare Beccaria"
"Tom Clancy","Robert A. Heinlein|James Wesley Rawles"
"Guy Debord","May 1968 events in France"
"Edward Abramowski","Augustyn Wróblewski"
"Bernard Bolzano","Edmund Husserl|Kevin Mulligan|Gottlob Frege|Carl Stumpf"
"Joris-Karl Huysmans","Jules Barbey d'Aurevilly"
"Leo Strauss","Stanley Rosen|Mark Lilla|Alexandre Kojève|Richard Rorty|Robert B. Pippin|Steven B. Smith (professor)|Joseph Cropsey|Abram Shulsky|Rémi Brague|Carl Schmitt|William Galston|Peter Berkowitz|Harry V. Jaffa|Harvey Mansfield|Pierre Manent|Allan Bloom|Thomas Pangle|Seth Benardete|Eric Voegelin"
"Hasrat Mohani","Urdu poetry"
"Henrik Ibsen","Søren Kierkegaard|August Strindberg|Jens Peter Jacobsen|Henrik Wergeland|Anton Chekhov"
"Simon Armitage","Weldon Kees|Ted Hughes"
"Hugo Grotius","Jean-Jacques Rousseau|John Locke|John Milton|Jean Barbeyrac|Richard Cumberland (philosopher)|Giambattista Vico|Thomas Hobbes|Gustavus Adolphus of Sweden|Cornelius van Bynkershoek|Samuel von Pufendorf|John Selden"
"David Hartley (philosopher)","James Mill|William Wordsworth|William James"
"Sextus Empiricus","David Hume|Edmund Husserl|Friedrich Nietzsche|Georg Wilhelm Friedrich Hegel|René Descartes|Michel de Montaigne|Nassim Nicholas Taleb"
"Joyce Johnson","Jack Kerouac"
"Dane Zajc","Srečko Kosovel|Josip Murn|Svetlana Makarovič|Rudi Šeligo|Veno Taufer|Tomaž Šalamun|Gregor Strniša"
"Laozi","Carl Jung|Xuanxue"
"Stephen King","Richard Matheson|John D. MacDonald|William Golding|Elmore Leonard|Jim Thompson (writer)|M. P. Shiel|Daphne du Maurier|Peter David|Damon Lindelof|J. J. Abrams|Jeaniene Frost"
"Graham Harman","Levi Bryant|Steven Shaviro|Timothy Morton"
"Hal Duncan","Michael de Larrabeiti"
"Thomas Mann","George Eliot|Knut Hamsun|Jens Peter Jacobsen|Johann Wolfgang von Goethe|Mario Szenessy|Adalbert Stifter|Joseph Heller|Yukio Mishima|Orhan Pamuk|Heinrich Böll"
"Peter Morgan","James Ellroy|Oliver Stone"
"Theocritus","Philitas of Cos"
"Ștefan Petică","Traian Demetrescu"
"Harold Bloom","Ralph Waldo Emerson|Hans Jonas|Owen Barfield|Hart Crane|Northrop Frye|Wallace Stevens|Camille Paglia|John Crowley|Tony Kushner|Martha Serpas"
"Barbara Branden","Sidney Hook"
"Hermann Lotze","Bertrand Russell|Edmund Husserl|Josiah Royce|Georg Elias Müller|Wilhelm Windelband|Gottlob Frege|Thomas Hill Green|Carl Stumpf|George Trumbull Ladd|Borden Parker Bowne|William James"
"Hamid Olimjon","Vladimir Mayakovsky|Maxim Gorky"
"Moritz Schlick","Albert Einstein|Kurt Gödel|Herbert Feigl|Vienna Circle|Albert Blumberg"
"Milovan Vidaković","Jovan Rajić"
"Susan Swan","Lawrence Durrell"
"Neal Cassady","Grateful Dead|Ken Kesey|Beat Generation|Carolyn Garcia"
"William Michaelian","Richard Brautigan"
"Toril Moi","Stanley Cavell"
"Mihail Sebastian","Stendhal|Ion Luca Caragiale|David Auburn"
"Vaikkath Pachu Moothathu","Vagbhata"
"Donald Antrim","Donald Barthelme"
"Gerald Griffin","John Banim"
"Nalî","Ahmad Khani|Muhamad Salih Dilan|Riza Talabani|Mahwi|Abdurrahman Sharafkandi|Piramerd|Wafayi|Haji Qadir Koyi|Abdullah Goran"
"Howard Jacobson","Alessandro Piperno"
"Kathy Acker","William S. Burroughs"
"Luce Irigaray","Judith Butler|Catherine Malabou"
"Sherwood Anderson","Ernest Hemingway|John Steinbeck|Ray Bradbury|Erskine Caldwell|William Faulkner|Charles Bukowski|F. Scott Fitzgerald|J. D. Salinger|John Fante|Thomas Wolfe"
"Richard McKeon","Bertrand Russell|Marshall McLuhan|Robert M. Pirsig|Paul Ricœur|Wayne C. Booth|Eugene Gendlin|Paul Rabinow"
"Terence McKenna","Heraclitus|Marshall McLuhan|Alfred North Whitehead|Vladimir Nabokov|Richard Evans Schultes|Robert Anton Wilson|Bill Hicks|Clifford A. Pickover|Tom Robbins|Daniel Pinchbeck|Ralph Abraham|R. U. Sirius|Rupert Sheldrake"
"Rashid Jahan","Ismat Chughtai"
"Albert Soboul","George Rudé|Richard Cobb"
"Jean-Pierre de Crousaz","Edward Gibbon"
"Wisława Szymborska","Hedwig Gorski"
"Crates of Thebes","Hipparchia of Maroneia|Zeno of Citium|Metrocles"
"Alain-Fournier","Jacques Rivière"
"Brian Shannon","Timothy Sykes|Todd Stottlemyre|Anne-Marie Baiynd"
"George Bacovia","Ion Minulescu|Traian Demetrescu"
"Eric Miles Williamson","Donald Barthelme"
"William L. Rowe","Paul Draper (philosopher)|Michael Bergmann (philosopher)"
"Henry Treece","Dylan Thomas"
"Charles Williams (British writer)","Evelyn Underhill"
"Carlo Rosselli","Antonio Gramsci"
"Virgil","Lucretius|Philodemus|Dante Alighieri|Jorge Luis Borges|John Keats|John Milton|Ludovico Ariosto|Seamus Heaney|Lucan|Henry David Thoreau|Ovid|William Shakespeare|Statius"
"Pierre-Joseph Proudhon","Karl Marx|Mikhail Bakunin|Benjamin Tucker|Georges Sorel|Kevin Carson|Mário Ferreira dos Santos|Joseph Déjacque|Silvio Gesell"
"John Scotus Eriugena","Alain de Lille|Amalric of Bena|Georg Wilhelm Friedrich Hegel|Hildegard of Bingen|School of Chartres|Honorius Augustodunensis|Israel the Grammarian|Berengar of Tours|Nicholas of Cusa|Thomas Aquinas|Peter Damian"
"Laura Ingalls Wilder","Rose Wilder Lane|Aprilynne Pike"
"Rainer Maria Rilke","Friedrich Hölderlin|Jens Peter Jacobsen|Leconte de Lisle|Kyriakos Charalambides"
"Charles W. Ramsdell","William Archibald Dunning"
"Mencius","Timeline of Eastern philosophers"
"George Woodcock","Peter Kropotkin"
"Alojz Gradnik","France Prešeren|Josip Murn|Dragotin Kette|Lili Novy|Aleš Šteger|Jakob Savinšek|France Balantič|Kajetan Kovič"
"Isaac Bashevis Singer","Guy de Maupassant|Knut Hamsun"
