"author","influencedby"
"Claude Adrien Helvétius","Étienne Bonnot de Condillac"
"Tom Clancy","Robert A. Heinlein"
"Guy Debord","André Breton|György Lukács|Henri Lefebvre|Antonie Pannekoek|Marquis de Sade|Cornelius Castoriadis"
"Erich Fromm","Max Horkheimer"
"Edward Abramowski","Augustyn Wróblewski"
"Joris-Karl Huysmans","Jules Barbey d'Aurevilly"
"Leo Strauss","Baruch Spinoza|Immanuel Kant|Jean-Jacques Rousseau|Maimonides|Alexandre Kojève|Martin Heidegger|Writings of Cicero|Carl Schmitt|Ernst Cassirer"
"Henrik Ibsen","Søren Kierkegaard|August Strindberg|Jens Peter Jacobsen|Henrik Wergeland"
"Simon Armitage","Weldon Kees|Ted Hughes"
"Hugo Grotius","Francisco Suárez"
"David Hartley (philosopher)","Thomas Reid"
"Sextus Empiricus","Pyrrho|Euhemerus|Carneades|Aenesidemus"
"Joyce Johnson","Jack Kerouac"
"Sebastian Shaumyan","Ferdinand de Saussure"
"Dane Zajc","Srečko Kosovel|Josip Murn"
"Stephen King","Richard Matheson|John D. MacDonald|William Golding|Elmore Leonard|Jim Thompson (writer)|M. P. Shiel|Daphne du Maurier"
"Graham Harman","José Ortega y Gasset"
"Hal Duncan","Michael de Larrabeiti"
"Thomas Mann","George Eliot|Knut Hamsun|Jens Peter Jacobsen|Johann Wolfgang von Goethe|Mario Szenessy|Adalbert Stifter"
"Theocritus","Philitas of Cos"
"Ștefan Petică","Traian Demetrescu"
"Brian Massumi","Félix Guattari|Gilles Deleuze"
"Harold Bloom","Ralph Waldo Emerson|Hans Jonas|Owen Barfield|Hart Crane|Northrop Frye|Wallace Stevens"
"Barbara Branden","Sidney Hook"
"Hermann Lotze","Johann Friedrich Herbart"
"Hamid Olimjon","Vladimir Mayakovsky|Maxim Gorky"
"Milovan Vidaković","Jovan Rajić"
"Susan Swan","Lawrence Durrell"
"William Michaelian","Richard Brautigan"
"Toril Moi","Stanley Cavell"
"Mihail Sebastian","Stendhal|Ion Luca Caragiale"
"Donald Antrim","Donald Barthelme"
"Israel Scheffler","Nelson Goodman"
"Gerald Griffin","John Banim"
"Nalî","Ahmad Khani"
"Howard Jacobson","Alessandro Piperno"
"Kathy Acker","William S. Burroughs"
"Luce Irigaray","Jacques Lacan"
"Richard McKeon","Étienne Gilson"
"Terence McKenna","Heraclitus|Marshall McLuhan|Alfred North Whitehead|Vladimir Nabokov|Richard Evans Schultes"
"Crates of Thebes","Antisthenes|Stilpo|Diogenes of Sinope"
"Alain-Fournier","Jacques Rivière"
"George Bacovia","Ion Minulescu|Traian Demetrescu"
"Eric Miles Williamson","Donald Barthelme"
"William L. Rowe","Thomas Reid"
"Henry Treece","Dylan Thomas"
"Charles Williams (British writer)","Evelyn Underhill"
"Carlo Rosselli","Antonio Gramsci"
"Virgil","Lucretius|Philodemus"
"Pierre-Joseph Proudhon","Jean-Jacques Rousseau|Charles Fourier|Writings of Cicero|Louis Blanc|Claude Henri de Rouvroy, comte de Saint-Simon|Victor Cousin"
"Hamid Dabashi","Edward Said"
"John Scotus Eriugena","Pseudo-Dionysius the Areopagite|Plotinus"
"Rainer Maria Rilke","Friedrich Hölderlin|Jens Peter Jacobsen|Leconte de Lisle|Kyriakos Charalambides"
"Charles W. Ramsdell","William Archibald Dunning"
"Mencius","Confucius"
"George Woodcock","Peter Kropotkin"
"Alojz Gradnik","France Prešeren|Josip Murn|Dragotin Kette"
"Isaac Bashevis Singer","Guy de Maupassant|Knut Hamsun"
"Shirley Jackson","Jonathan Dordick"
"Maurice Sendak","Ursula Nordstrom"
"Dionysios Solomos","Kyriakos Charalambides"
"Herbert Spencer","Sir William Hamilton, 9th Baronet|Auguste Comte"
"Frank O'Connor","William Keepers Maxwell, Jr."
"Robie Macauley","Ford Madox Ford"
"Fazal Ali Qureshi","Muhammad Sirajuddin Naqshbandi|Sayyad Laal Shah Hamdani"
"Jan Baudouin de Courtenay","August Leskien"
"Stephenie Meyer","Louisa May Alcott|Daphne du Maurier"
"José Martí","Henry George"
"Mo Yan","William Faulkner"
"Plato","Socrates|Heraclitus|Parmenides|Protagoras|Pythagoras|Gorgias|Zeno of Elea"
"Stephen Mulhall","Stanley Cavell"
"A. A. Milne","Joel Chandler Harris"
"Roman Jakobson","Ferdinand de Saussure|Alexander Luria"
"Grant Allen","Henry George"
"Norman O. Brown","Herbert Marcuse|Géza Róheim"
"Reza Negarestani","Gilles Châtelet|Nick Land"
"Frithjof Bergmann","Walter Kaufmann (philosopher)"
"Sergei Bulgakov","Vladimir Solovyov (philosopher)"
"Nikolai Gogol","Alexander Pushkin"
"Antisthenes","Socrates|Gorgias"
"Ernst Jünger","Oswald Spengler|Carl Schmitt|Max Stirner"
"Metrodorus of Lampsacus (the younger)","Epicurus"
"Sardar Fazlul Karim","Abdur Razzaq (professor)"
"Friedrich Nietzsche","Baruch Spinoza|Democritus|Empedocles|Epicurus|Heraclitus|Immanuel Kant|Niccolò Machiavelli|Parmenides|Protagoras|Ralph Waldo Emerson|Stendhal|Adam Mickiewicz|Friedrich Hölderlin|Giacomo Leopardi|Michel de Montaigne|Baltasar Gracián|Johann Wolfgang von Goethe|Friedrich Albert Lange|Ludwig Feuerbach|Damaris Cudworth Masham|Sextus Empiricus|Auguste Comte|Adalbert Stifter|Max Stirner|Bruno Bauer|African Spir|Johann Joachim Winckelmann"
"Julien Offray de La Mettrie","John Locke"
"Dennis Lee (author)","George Grant (philosopher)"
"Selma Lagerlöf","Thomas Mayne Reid"
"Alan Moore","William S. Burroughs|William Blake"
"Aleš Debeljak","Srečko Kosovel|Niko Grafenauer|Drago Jančar"
"Flannery O'Connor","William Faulkner|George Washington Harris|Simone Weil|Joel Chandler Harris"
"Michael Huemer","Thomas Reid"
"Derek Walcott","Robert Lowell|Elizabeth Bishop|John Figueroa"
"Christopher Klim","Robert Gover"
"Epictetus","Zeno of Citium"
"Wilhelm von Humboldt","Christian Jakob Kraus"
"Gaetano Mosca","Vilfredo Pareto"
"James Fenimore Cooper","Walter Scott"
"Camille Paglia","Erich Neumann (psychologist)|Marquis de Sade|Simone de Beauvoir|Harold Bloom"
"Karl Popper","David Hume|Edmund Burke|Friedrich Hayek|Heraclitus|John Stuart Mill|Alfred Tarski|William Stanley Jevons"
"Sean Dorrance Kelly","Hubert Dreyfus"
"Gangadhar V. Chittal","R. S. Mugali"
"Ben Lerner","Michael Palmer (poet)"
"Sharon Green","John Norman"
"Mike Wallace (historian)","Richard Hofstadter"
"Ann Beattie","Richard Yates (novelist)"
"James Mill","David Hartley (philosopher)"
"Frank O'Hara","Tatyana Grosman|Vladimir Mayakovsky"
"Rachel Kushner","Don DeLillo"
"David A. Kolb","Kurt Lewin"
"Pierre Gassendi","Epicurus|Lucretius"
"Douglas Kellner","Karl Korsch|Herbert Marcuse"
"Osip Mandelstam","Arkady Gornfeld|Alexander Pushkin|Mikhail Lermontov"
"Ion Vinea","N. D. Cocea|Urmuz"
"Diogenes of Sinope","Antisthenes"
"Daren Shiau","Edwin Thumboo"
"Ludwig Wittgenstein","Baruch Spinoza|Bertrand Russell|G. E. Moore|Oswald Spengler|Søren Kierkegaard|Gottlob Frege|Hermann von Helmholtz|Piero Sraffa|Johann Wolfgang von Goethe|Frank P. Ramsey|Otto Weininger|William James"
"Scott Lynch","George R. R. Martin"
"Ernest Gellner","Karl Popper"
"Max Blecher","Geo Bogza"
"John Milbank","Gillian Rose"
"Joseph A. Bracken","Alfred North Whitehead"
"Kevin Mulligan","Bernard Bolzano"
"J. C. Hutchins","Scott Sigler"
"Diana Gabaldon","Robert Louis Stevenson|John D. MacDonald|Dorothy L. Sayers"
"Alejo Carpentier","Richard Evans Schultes"
"Jonathan Lethem","J. G. Ballard|Robert Coover|Robert Stone (novelist)|Thomas Berger (novelist)|Don DeLillo"
"Chris Bateman","Kendall Walton"
"Olavo de Carvalho","Wolfgang Smith|José Ortega y Gasset"
"Terry Pratchett","Lloyd Alexander|Jack Vance"
"Georg Simmel","Immanuel Kant|Max Weber|Wilhelm Dilthey"
"Joseph de Maistre","Edmund Burke|Giambattista Vico|Louis Gabriel Ambroise de Bonald|Nicolas Malebranche"
"Salimullah Khan","Abdur Razzaq (professor)"
"José Zorrilla","Pedro Calderón de la Barca"
"John Irving","Thomas Williams (writer)"
"Denis Johnson","Robert Stone (novelist)|Malcolm Lowry"
"Jim Dodge","Jack Kerouac"
"François-Noël Babeuf","Jean-Jacques Rousseau"
"Raimundo Correia","Fagundes Varela"
"Larry Brown (author)","Harry Crews|Barry Hannah"
"Nikolai Berdyaev","Jakob Böhme|Vladimir Solovyov (philosopher)"
"Khushwant Singh","Rajneesh"
"Henri Michaux","Stéphane Mallarmé|Comte de Lautréamont"
"Eckhart Tolle","Meister Eckhart"
"Anne Frank","Cissy van Marxveldt"
"Christopher Hitchens","George Eliot|John Stuart Mill|Kingsley Amis|Salman Rushdie|Thomas Paine|Vladimir Nabokov|Edward Said|Richard Hofstadter|Leszek Kołakowski"
"Iris Murdoch","Elizabeth Anscombe|Simone Weil"
"Paul Theroux","Robie Macauley"
"Mark Saxton","Austin Tappan Wright"
"Jules Michelet","Giambattista Vico"
"Averroes","Avempace"
"Charles Taylor (philosopher)","Georg Wilhelm Friedrich Hegel|Hubert Dreyfus|Elizabeth Anscombe|Émile Durkheim|Daniel Bell"
"Carlos Vaz Ferreira","John Stuart Mill"
"Douglas Rushkoff","Marshall McLuhan"
"Carl Hiaasen","John D. MacDonald"
"Jack London","Herbert Spencer"
"Enrique Gómez Carrillo","Lorenzo Montúfar y Rivera"
"Dušan Jovanović (theatre director)","Jože Javoršek|Rudi Šeligo"
"J. M. Coetzee","William Faulkner|Ford Madox Ford"
"Vladimir Nabokov","Gustave Flaubert|Robert Louis Stevenson|Nikolai Gogol|Alexander Pushkin|Thomas Mayne Reid|Ivan Turgenev"
"Ivan Yefremov","Helena Roerich|Alexander Belyaev"
"Anne Sexton","Sylvia Plath|Theodore Roethke|Robert Lowell|John Berryman"
"Kage Baker","Jack Vance"
"Robert Silverberg","Jack Vance|Roger Zelazny"
"France Balantič","Srečko Kosovel|France Prešeren|Alojz Gradnik|Josip Murn|Anton Vodnik"
"Poul Anderson","Robert E. Howard|L. Sprague de Camp|Jack Vance"
"Harper Lee","William Faulkner|Truman Capote"
"Naoya Shiga","Kazuo Hirotsu"
"Evelyn Waugh","Ronald Firbank"
"Stan Barstow","Sid Chaplin"
"Dean Koontz","Robert A. Heinlein|John D. MacDonald|Jack Vance"
"Ludwig Thoma","Ludwig Ganghofer"
"Jack Vance","Edward Plunkett, 18th Baron of Dunsany"
"John Mearsheimer","Kenneth Waltz|Samuel P. Huntington"
"Kurt Vonnegut","James Thurber|William March|Theodore Sturgeon|Louis-Ferdinand Céline"
"Lawrence Durrell","Meary James Thurairajah Tambimuttu"
"Antoni Słonimski","Antoni Lange"
"Gene Wolfe","Robert Aickman|R. A. Lafferty|Jack Vance|Vladimir Nabokov"
"Gary Snyder","Robinson Jeffers"
"David Hume","Montesquieu|Epicurus|George Berkeley|Gottfried Wilhelm Leibniz|Jean-Jacques Rousseau|John Locke|Niccolò Machiavelli|Pyrrho|Writings of Cicero|Pierre Bayle|Damaris Cudworth Masham|Nicolas Malebranche|Sextus Empiricus|Francis Hutcheson (philosopher)"
"Robert Bly","Theodore Roethke"
"Martin Buber","Rudolf Steiner|Søren Kierkegaard|Max Scheler|Jacob L. Moreno|Ludwig Feuerbach"
"David Foster Wallace","Robert Coover|Lydia Davis|David Markson|Donald Barthelme|Jean Baudrillard|Julio Cortázar|Joseph McElroy|Don DeLillo|William Gaddis"
"Edgar Rice Burroughs","H. Rider Haggard"
"Paolo Virno","Gabriel Tarde"
"Coleman Barks","Robert Bly"
"Louis Aragon","Maurice Barrès"
"Bas van Fraassen","Wilfrid Sellars"
"George MacDonald","Friedrich de la Motte Fouqué|Novalis"
"John B. Cobb","Alfred North Whitehead|Charles Hartshorne"
"Tatsuko Hoshino","Kyoshi Takahama"
"Muhammad ibn Zakariya al-Razi","Abu Zayd al-Balkhi"
"Peter van Inwagen","Alvin Plantinga"
"Letícia Wierzchowski","Erico Verissimo"
"Robert Jordan","John M. Ford"
"Karl Marx","Baruch Spinoza|Charles Babbage|Democritus|Denis Diderot|Epicurus|Georg Wilhelm Friedrich Hegel|Jean-Jacques Rousseau|Ludwig Börne|Joseph Dietzgen|Jean Charles Léonard de Sismondi|Pierre-Joseph Proudhon|Charles Fourier|Giambattista Vico|Lucretius|William Petty|Ludwig Feuerbach|Thomas Hodgskin|Auguste Comte|Max Stirner|Claude Henri de Rouvroy, comte de Saint-Simon|Bruno Bauer|Baron d'Holbach"
"Mikhail Lermontov","Alexander Pushkin"
"Gala Galaction","Tudor Arghezi"
"Jeffrey Eugenides","Vladimir Nabokov"
"John Zerzan","Ivan Illich|Jacques Ellul"
"M. Mukundan","M. T. Vasudevan Nair"
"Fulvio Tomizza","Ivan Cankar|Scipio Slataper"
"David Eddings","Edward Plunkett, 18th Baron of Dunsany"
"Thomas Paine","Montesquieu|Jean-Jacques Rousseau|John Locke"
"George Chapman","Ovid"
"Josef Hora","Karel Hynek Mácha"
"Stefan Grabiński","Antoni Lange"
"Dragotin Kette","France Prešeren"
"Antun Knežević","Ivan Franjo Jukić"
"Michael Walzer","Charles Taylor (philosopher)"
"Rudolf Steiner","Johann Wolfgang von Goethe|Wilhelm Dilthey|Max Stirner|Franz Brentano|Karl Robert Eduard von Hartmann|African Spir"
"Hristo Botev","Alexander Pushkin"
"Marjan Rožanc","Vitomil Zupan|Dominik Smole|Scipio Slataper|France Bevk"
"Carlo Dossi","Giuseppe Rovani"
"Antoni Lange","Leconte de Lisle|Antoni Malczewski"
"Ali-Shir Nava'i","Nizami Ganjavi"
"Frank Herbert","Jack Vance"
"José Saramago","Fernando Pessoa|Miguel de Cervantes|Nikolai Gogol|Michel de Montaigne"
"Minette Walters","Ruth Rendell"
"Iain Hamilton Grant","Friedrich Wilhelm Joseph Schelling|Nick Land"
"James Kelman","Edwin Morgan (poet)"
"Michel Foucault","Epicurus|Ferdinand de Saussure|Gilles Deleuze|Gustave Flaubert|Immanuel Kant|Roman Jakobson|Friedrich Hölderlin|Alexandre Kojève|Georges Canguilhem|Pierre Hadot|Louis Althusser|Martin Heidegger|Roland Barthes|Georges Dumézil|Georges Bataille|Marquis de Sade|Gaston Bachelard"
"Mary Shelley","William Godwin|Jean-Baptiste Benoît Eyriès|Clara Reeve"
"Colum McCann","Don DeLillo"
"Robert Gilpin","Kenneth Waltz"
"Joe Haldeman","Roger Zelazny"
"José Carlos Mariátegui","Benedetto Croce|Henri Barbusse"
"Lord Byron","Jean-Baptiste Benoît Eyriès|George Crabbe"
"Ahmad Shamloo","Hushang Irani"
"Joxe Azurmendi","Immanuel Kant|Wilhelm von Humboldt|Isaiah Berlin"
"Shirley Corriher","Harold McGee"
"Guillaume Faye","Alain de Benoist"
"Joshua Knobe","P. F. Strawson"
"David Mitchell (author)","Don DeLillo"
"Jean Cavaillès","Léon Brunschvicg"
"John Norman","Edgar Rice Burroughs"
"Jean-Luc Nancy","Martin Heidegger"
"Cleanthes","Zeno of Citium"
"David Anthony Durham","George R. R. Martin"
"Wilfrid Sellars","Gilbert Ryle|Curt John Ducasse"
"Angus Donald","Bernard Cornwell"
"Philodemus","Epicurus|Zeno of Sidon"
"Michael J. Sandel","Michael Walzer|Charles Taylor (philosopher)"
"H. Rider Haggard","Robert Louis Stevenson"
"John Berger","Martin Buber"
"Sașa Pană","Urmuz"
"Eric de Kuyper","Algirdas Julien Greimas"
"Eugène Minkowski","Ludwig Binswanger"
"William H. Gass","Gustave Flaubert|Robert Coover|William Gaddis"
"Kate Chopin","Guy de Maupassant"
"Franz Brentano","Friedrich Adolf Trendelenburg"
"Alexandru Macedonski","Pantazi Ghica|Ion Heliade Rădulescu"
"Jyotirao Phule","Thomas Paine"
"David Weber","C. S. Forester|Anne McCaffrey"
"Steven Brust","Roger Zelazny"
"Brian McNaughton","Robert E. Howard"
"Mario Vargas Llosa","Gustave Flaubert|José Ortega y Gasset"
"Ed McBain","T. H. White"
"William Trevor","Roger Angell"
"Giorgos Seferis","Kyriakos Charalambides"
"Alain Badiou","Fernando Pessoa|Jacques Lacan|Jean-Paul Sartre|Paul Cohen|Stéphane Mallarmé|Martin Heidegger"
"Paul Copan","William Lane Craig"
"Nicholas Wolterstorff","Thomas Reid|Alvin Plantinga"
"Hart Crane","James Macpherson|Harry Crosby"
"Fran Lebowitz","Dorothy Parker|James Thurber"
"Baltasar Gracián","Lucian"
"Angelos Sikelianos","Ion Dragoumis"
"Homi K. Bhabha","Salman Rushdie|Edward Said"
"Ilan Stavans","Margo Glantz|Octavio Paz"
"Albert Camus","Herman Melville|Jean-Paul Sartre|Søren Kierkegaard|Octave Mirbeau|Giacomo Leopardi|Georges Palante|Simone Weil|Max Stirner|Simone de Beauvoir"
"Philippe Descola","Claude Lévi-Strauss"
"Richard Yates (novelist)","William Styron"
"John Wycliffe","William of Ockham"
"Everett Rogers","Gabriel Tarde"
"Johann Gottfried Herder","Thomas Blackwell (scholar)|Johann Georg Hamann|Johann Joachim Winckelmann"
"Susan Neiman","John Rawls"
"João de Lemos","Alexandre Herculano|Camilo Castelo Branco"
"Walter Scott","George Crabbe"
"Paul Ricœur","Edmund Husserl|Roman Jakobson|Richard McKeon|Emmanuel Levinas|Maurice Halbwachs|Karl Jaspers|Félix Ravaisson-Mollien"
"Edward Gordon Craig","Isadora Duncan"
"Muhammad Sirajuddin Naqshbandi","Muhammad Usman Damani"
"Ann Coulter","M. Stanton Evans"
"Alexandre Herculano","Almeida Garrett"
"Antonio Machado","José Ortega y Gasset|Gustavo Adolfo Bécquer"
"John William Polidori","Jean-Baptiste Benoît Eyriès"
"Auguste Comte","Jean-Baptiste Say|Claude Henri de Rouvroy, comte de Saint-Simon"
"Scott Westerfeld","William Gibson"
"Umberto Eco","Italo Calvino|Giada Trebeschi|Luigi Malerba|Jean Piaget"
"Émile Zola","Gustave Flaubert|Stendhal"
"Rabindranath Tagore","Pramatha Chaudhuri"
"Gaston Leroux","Fortuné du Boisgobey"
"Keith Ward","Richard Swinburne"
"Francis Parker Yockey","Oswald Spengler|Julius Evola"
"Veno Taufer","Dane Zajc|Dominik Smole"
"Alexius Meinong","Franz Brentano"
"Terry Bisson","R. A. Lafferty"
"Theodor Storm","Ivan Turgenev"
"Helen Keller","Henry George"
"Gottlob Frege","Gottfried Wilhelm Leibniz|Bernard Bolzano|Kuno Fischer|Friedrich Adolf Trendelenburg|Hermann Lotze"
"Ernest Nagel","Morris Raphael Cohen"
"Romain Rolland","Grigol Robakidze"
"Iain Banks","Brian Aldiss|Dan Simmons|Robert A. Heinlein|M. John Harrison|Alasdair Gray|Arthur C. Clarke"
"Gonzalo Arango","Fernando González (writer)"
"Stephen Neale","Deirdre Wilson"
"Carol Shields","Margaret Laurence"
"Elie Wiesel","François Mauriac"
"Vera Kamsha","Nick Perumov"
"Ned Block","Hilary Putnam"
"Saul Bellow","Rudolf Steiner|Stendhal|Owen Barfield|Edward Shils"
"Anthony Kenny","Elizabeth Anscombe|Peter Geach"
"Denis Fahey","Edward Cahill"
"László Németh","Attila József"
"Erich Maria Remarque","Henri Barbusse"
"David A. Hargrave","Roger Zelazny"
"Kir Bulychev","Alexander Belyaev"
"J. D. Salinger","William Keepers Maxwell, Jr.|Robert Burns|Sherwood Anderson"
"Herman Melville","Thomas Browne|Owen Chase|Luís de Camões"
"William Wordsworth","Henry Vaughan|David Hartley (philosopher)|Robert Burns"
"António Augusto Soares de Passos","Almeida Garrett|Alexandre Herculano"
"Andre Dubus III","Thomas Williams (writer)|Andre Dubus"
"John Dewey","Jean-Jacques Rousseau|George Herbert Mead|Thomas Hill Green|George Sylvester Morris|William James"
"Charles Olson","William Carlos Williams"
"George Croom Robertson","Alexander Bain"
"Terry Eagleton","Slavoj Žižek|Raymond Williams"
"Larry Niven","Robert A. Heinlein"
"Fernando González (writer)","Tomás Carrasquilla"
"Zora Neale Hurston","Joel Chandler Harris"
"Jan Kasprowicz","Percy Bysshe Shelley"
"James Whitcomb Riley","Frank Lebby Stanton|Robert Burns"
"Donna Williams","Henriett Seth F."
"Elizabeth Bishop","Sylvia Plath|Alice Dayrell Caldeira Brant"
"Francis Fukuyama","Georg Wilhelm Friedrich Hegel|Alexandre Kojève|Samuel P. Huntington|Allan Bloom"
"F. A. Nettelbeck","Greg Hall (poet)"
"Friedrich Wilhelm Carové","Georg Wilhelm Friedrich Hegel"
"Robert Gernhardt","Wilhelm Busch"
"Meher Baba","Hazrat Babajan|Upasni Maharaj"
"Walter Pater","Heraclitus|Novalis"
"Phillip Blond","John Milbank"
"Félix Ravaisson-Mollien","Gottfried Wilhelm Leibniz|Friedrich Wilhelm Joseph Schelling|Damaris Cudworth Masham|Maine de Biran|Victor Cousin"
"Serge Latouche","Nicholas Georgescu-Roegen"
"William Alston","Thomas Reid"
"Richard David Precht","Michael J. Sandel"
"Jamie O'Neill","Brian O'Nolan"
"Zygmunt Bauman","Hans Jonas|Emmanuel Levinas|Cornelius Castoriadis"
"Lloyd Alexander","T. H. White"
"Alfonsina Storni","Amado Nervo"
"Wendy Brown (political scientist)","Sheldon Wolin"
"Slavoj Žižek","Georg Wilhelm Friedrich Hegel|Jacques Lacan|René Descartes|Jacques Rancière|Ernesto Laclau|Gillian Rose|Carl Schmitt|Friedrich Wilhelm Joseph Schelling|Fredric Jameson|Alain Badiou"
"Augusto Roa Bastos","Rafael Barrett"
"Henry James","Guy de Maupassant|Sheridan Le Fanu|Jules Barbey d'Aurevilly|Alexander Pushkin|Ivan Turgenev"
"Robert Crais","Raymond Chandler|Robert B. Parker"
"Jesse Bullington","Jeff VanderMeer"
"Jacques Le Goff","Cornelius Castoriadis"
"Seneca the Younger","Epicurus|Zeno of Citium|Posidonius"
"Chris Harman","Henryk Grossman"
"Alan Watts","Joseph Campbell|Carl Jung"
"Russell Kirk","Edmund Burke"
"Andre Dubus","Richard Yates (novelist)"
"Juan Vázquez de Mella","Juan Donoso Cortés"
"Max Scheler","Edmund Husserl|Nicolai Hartmann"
"Anne Carson","Simone Weil"
"Deon Meyer","Ekow Duker"
"Max Frisch","Theophil Spoerri|Robert Faesi"
"Wilhelm Dilthey","Georg Wilhelm Friedrich Hegel|John Stuart Mill|Friedrich Schleiermacher|Friedrich Adolf Trendelenburg|Johann Gustav Droysen"
"William Godwin","Edmund Burke|Thomas Paine"
"Steven Erikson","Robert E. Howard|Roger Zelazny"
"Alex Callinicos","Antonio Gramsci|Chris Harman"
"Ernst Cassirer","Immanuel Kant|Johann Wolfgang von Goethe"
"Jean-Joseph Rabearivelo","Ny Avana Ramanantoanina"
"Steven Millhauser","Robert Coover"
"Siegfried Sassoon","Henry Vaughan|Thomas Hardy|Henry Head|W. H. R. Rivers"
"Czesław Miłosz","Leopold Staff|Simone Weil"
"Robert M. Pirsig","Richard McKeon"
"Jack Ketchum","T. M. Wright"
"Christine Korsgaard","John Rawls"
"Sanford Kwinter","C. H. Waddington"
"Ullin Place","Gilbert Ryle"
"J. Jill Robinson","Raymond Carver"
"Rose Wilder Lane","Isabel Paterson|Laura Ingalls Wilder"
"D. H. Lawrence","Herman Melville|Otto Gross|Thomas Hardy|Jens Peter Jacobsen|Lev Shestov"
"Jason Brennan","David Schmidtz"
"Nancy Fraser","Martha Albertson Fineman|Axel Honneth|Richard J. Bernstein"
"Théophile Gautier","Adam Mickiewicz"
"Kit Fine","Arthur Prior"
"Louis Gabriel Ambroise de Bonald","Gottfried Wilhelm Leibniz|Joseph de Maistre|Damaris Cudworth Masham|Nicolas Malebranche"
"Dominik Smole","France Prešeren"
"Anthony Burgess","D. H. Lawrence|Ford Madox Ford|Vladimir Nabokov|Brian O'Nolan|Alasdair Gray"
"Rosi Braidotti","Gilles Deleuze"
"Tomaž Šalamun","Srečko Kosovel|Dane Zajc|Rudi Šeligo|Veno Taufer|Niko Grafenauer"
"Fuzûlî","Nizami Ganjavi"
"Jane Austen","George Crabbe|Samuel Richardson"
"Willard Van Orman Quine","Nelson Goodman|Burton Dreben|Alfred North Whitehead|Alfred Tarski|Rudolf Carnap|William of Ockham|Clarence Irving Lewis"
"Thornton Burgess","Joel Chandler Harris"
"Christian Cameron","Eric Rücker Eddison"
"Miguel Torga","Fernando Pessoa"
"Santa Rita Durão","Luís de Camões"
"Michel Henry","Paul Ricœur|Maine de Biran"
"Paul Goodman","Charles Fourier|Otto Rank"
"Anaximenes of Miletus","Anaximander|Thales"
"Stilpo","Euclid of Megara"
"Morris Raphael Cohen","Josiah Royce|William James"
"Jarosław Iwaszkiewicz","Leopold Staff"
"Matthew Arnold","Edmund Burke"
"Jayakanthan","T. M. Chidambara Ragunathan"
"Frantz Fanon","Jean-Paul Sartre"
"Giannina Braschi","Fernando Pessoa|Antonio Machado|Pedro Calderón de la Barca|Rubén Darío|Julia de Burgos|Seamus Heaney|Juan Ramón Jiménez|Luis Palés Matos|Julio Cortázar|Stanisław Ignacy Witkiewicz|Gustavo Adolfo Bécquer|Hannah Arendt"
"Robert Browning","Percy Bysshe Shelley|Christopher Smart"
"Xavier Zubiri","José Ortega y Gasset"
"Jonathan Swift","Daniel Defoe"
"Manuel DeLanda","Gilles Deleuze"
"Jules Vuillemin","Ludwig Wittgenstein|Alfred North Whitehead"
"Sylvia Plath","Theodore Roethke|Ted Hughes|Stevie Smith|Robert Lowell"
"Poppy Z. Brite","William S. Burroughs|Ramsey Campbell"
"Ron Padgett","Frank O'Hara"
"Clarence Irving Lewis","Josiah Royce"
"Léon Brunschvicg","Blaise Pascal|Lucien Lévy-Bruhl"
"Richard Wilbur","Robert Frost"
"Branislav Nušić","Jovan Sterija Popović"
"Guy de Maupassant","Gustave Flaubert"
"S. J. Perelman","Robert Benchley"
"Norberto Bobbio","Vilfredo Pareto|Hans Kelsen"
"Posidonius","Zeno of Citium|Panaetius"
"David Gemmell","Robert E. Howard"
"Douglas Murray (author)","Christopher Hitchens"
"Lawrence Sklar","Carl Gustav Hempel"
"Mou Zongsan","Immanuel Kant"
"Charles Bernard Renouvier","Jules Lequier"
"Vladimir Colin","A. Merritt"
"Joseph McElroy","William Gaddis"
"Friedrich Schiller","Pedro Calderón de la Barca|Johann Wolfgang von Goethe|Karl Leonhard Reinhold"
"John D. Caputo","Paul Ricœur"
"Tone Seliškar","Prežihov Voranc"
"Milič Čapek","Alfred North Whitehead"
"Proclus","Plotinus|Iamblichus"
"David Mamet","Harold Pinter"
"Adele Wiseman","Margaret Laurence"
"J. J. C. Smart","Henry Sidgwick"
"Ralph Waldo Emerson","Adam Mickiewicz|Michel de Montaigne|Alexander von Humboldt|Victor Cousin"
"Richard Rorty","Ludwig Wittgenstein|Wilfrid Sellars|Hubert Dreyfus|Martin Heidegger|Vladimir Nabokov|Jean-François Lyotard|Leo Strauss|Donald Davidson (philosopher)|Gianni Vattimo|Cornelius Castoriadis|William James"
"Vanna Bonta","Giovanni Pascoli"
"Heinrich Rickert","Wilhelm Windelband"
"Daagh Dehlvi","Mohammad Ibrahim Zauq"
"Tobias Wolff","Guy de Maupassant|Richard Yates (novelist)|Raymond Carver|Andre Dubus"
"Tucker Max","Tobias Wolff"
"Karl Rahner","Joseph Maréchal"
"Vasily Grossman","Semyon Lipkin"
"Israr Ahmed","Sultan Bashiruddin Mahmood|Sultan Bashir Mahmood"
"Bijan Abdolkarimi","Reza Davari Ardakani"
"Roberto Bolaño","Raymond Chandler|John Kennedy Toole|Juan Rulfo"
"Raymond Aron","Jean-Paul Sartre|Alexis de Tocqueville|Alexandre Kojève|Léon Brunschvicg|Émile Chartier"
"Baba Punhan","Mirza Alakbar Sabir"
